,t,side,price,qty
0,0.0,bid,2879.2,1.0
1,0.0,bid,2879.5,5.0
2,1.0,ask,2880.1000000000004,7.0
3,1.0,ask,2880.2000000000003,19.0
4,2.0,bid,2874.4,2.0
5,3.0,ask,2878.6000000000004,4.0
6,4.0,bid,2867.6,1.0
7,4.0,bid,2867.9,5.0
8,4.0,bid,2868.0,11.0
9,5.0,ask,2871.2000000000003,13.0
10,5.0,ask,2871.4,9.0
11,5.0,ask,2871.7000000000003,5.0
12,6.0,bid,2870.4,2.0
13,6.0,bid,2870.5,11.0
14,7.0,bid,2873.6000000000004,10.0
15,8.0,ask,2881.5,2.0
16,9.0,bid,2890.7000000000003,1.0
17,10.0,bid,2883.4,1.0
18,11.0,ask,2881.6000000000004,4.0
19,11.0,ask,2881.7000000000003,4.0
20,11.0,ask,2881.9000000000005,2.0
21,12.0,ask,2882.5,4.0
22,12.0,ask,2882.6,1.0
23,13.0,ask,2877.6000000000004,1.0
24,14.0,bid,2884.1000000000004,1.0
25,14.0,bid,2884.4000000000005,4.0
26,14.0,bid,2884.6000000000004,4.0
27,15.0,ask,2878.6000000000004,16.0
28,15.0,ask,2878.8,4.0
29,15.0,ask,2879.1000000000004,14.0
30,16.0,bid,2871.8,3.0
31,16.0,bid,2872.0,7.0
32,17.0,bid,2873.2000000000003,3.0
33,18.0,bid,2876.4,5.0
34,19.0,bid,2869.3,10.0
35,19.0,bid,2869.5,5.0
36,19.0,bid,2869.8,11.0
37,20.0,bid,2875.4,4.0
38,20.0,bid,2875.7000000000003,10.0
39,20.0,bid,2875.8,15.0
40,21.0,bid,2874.8,11.0
41,21.0,bid,2875.0000000000005,21.0
42,21.0,bid,2875.1000000000004,47.0
43,22.0,bid,2876.2000000000003,3.0
44,23.0,ask,2876.6000000000004,7.0
45,24.0,ask,2872.0,28.0
46,25.0,bid,2876.6000000000004,4.0
47,25.0,bid,2876.8,5.0
48,25.0,bid,2877.1000000000004,4.0
49,26.0,ask,2874.7000000000003,11.0
50,27.0,bid,2872.4,2.0
51,28.0,ask,2873.4,1.0
