,bid_px1,bid_sz1,ask_px1,ask_sz1,bid_px2,bid_sz2,ask_px2,ask_sz2,bid_px3,bid_sz3,ask_px3,ask_sz3
0,3636.1000000000004,19,3636.5,15,3635.8,10,3636.8,8,3635.8,4,3636.8,4
1,3620.8,5,3621.1000000000004,4,3620.5,5,3621.4000000000005,4,3620.4,9,3621.5000000000005,5
2,3629.6000000000004,15,3629.9,7,3629.4000000000005,13,3630.1,6,3629.2000000000003,4,3630.3,4
3,3613.5,11,3613.8,6,3613.3,12,3614.0,6,3613.1,7,3614.2000000000003,4
4,3598.2000000000003,15,3598.5,4,3597.9,10,3598.8,4,3597.9,7,3598.8,4
5,3630.7000000000003,6,3631.1000000000004,4,3630.4,17,3631.4000000000005,4,3630.4,12,3631.4000000000005,4
6,3627.0,5,3627.3,4,3626.8,19,3627.5,10,3626.4,9,3627.9,5
7,3585.6000000000004,4,3586.0,7,3585.3,7,3586.3,15,3585.4000000000005,4,3586.2,4
8,3546.9,9,3547.2000000000003,20,3546.8,6,3547.3,13,3546.3,4,3547.8,6
9,3539.0,11,3539.4,24,3538.7,12,3539.7000000000003,28,3538.6,4,3539.8,4
10,3568.1000000000004,4,3568.5,7,3568.0000000000005,4,3568.6,6,3567.5000000000005,4,3569.1,13
11,3560.1000000000004,4,3560.4,11,3559.8,4,3560.7000000000003,15,3559.8,4,3560.7000000000003,4
12,3564.8,4,3565.2000000000003,36,3564.7000000000003,4,3565.3,8,3564.4,4,3565.6000000000004,14
13,3554.2000000000003,4,3554.6000000000004,19,3553.9,4,3554.9000000000005,4,3554.0000000000005,4,3554.8,9
14,3551.4,4,3551.8,22,3551.1,4,3552.1000000000004,17,3551.0,4,3552.2000000000003,7
15,3541.9,4,3542.3,7,3541.6,4,3542.6000000000004,9,3541.4,4,3542.8,4
16,3576.1000000000004,4,3576.4,4,3575.9000000000005,4,3576.6,4,3575.6000000000004,4,3576.9,10
17,3569.6000000000004,22,3569.9,39,3569.3,8,3570.2000000000003,14,3569.1000000000004,4,3570.4,5
18,3567.0,4,3567.3,5,3566.7,4,3567.6000000000004,4,3566.6,4,3567.7000000000003,4
19,3583.5,25,3583.9,15,3583.3,11,3584.1,6,3583.2,9,3584.2000000000003,5
20,3580.2000000000003,13,3580.6000000000004,24,3580.0000000000005,4,3580.8,5,3579.6000000000004,4,3581.2000000000003,7
21,3589.6000000000004,4,3589.9,9,3589.5000000000005,4,3590.0,6,3589.1000000000004,4,3590.4,7
22,3575.8,4,3576.1000000000004,5,3575.7000000000003,6,3576.2000000000003,13,3575.5,4,3576.4000000000005,7
23,3571.7000000000003,14,3572.0,21,3571.6000000000004,8,3572.1,13,3571.1000000000004,5,3572.6,7
24,3544.3,7,3544.7000000000003,33,3544.0,4,3545.0000000000005,5,3544.0,4,3545.0000000000005,5
25,3542.5,4,3542.9,10,3542.3,8,3543.1,21,3542.1,5,3543.3,13
26,3574.4,5,3574.7000000000003,7,3574.1,9,3575.0000000000005,13,3574.1,11,3575.0000000000005,16
27,3487.1000000000004,4,3487.5,4,3486.9000000000005,7,3487.7,6,3486.7000000000003,4,3487.9,4
28,3483.3,19,3483.7000000000003,5,3483.2000000000003,7,3483.8,4,3482.7000000000003,8,3484.3,4
29,3525.3,5,3525.6000000000004,11,3525.2000000000003,4,3525.7000000000003,5,3524.9,5,3526.0000000000005,9
30,3528.2000000000003,6,3528.5,9,3527.9,10,3528.8,14,3527.6000000000004,6,3529.1,9
31,3505.8,4,3506.2000000000003,15,3505.5,4,3506.5000000000005,10,3505.5,4,3506.5000000000005,11
32,3495.4,6,3495.8,25,3495.2000000000003,4,3496.0,12,3495.1,4,3496.1000000000004,13
33,3522.7000000000003,8,3523.1000000000004,7,3522.6000000000004,10,3523.2000000000003,9,3522.3,4,3523.5000000000005,4
34,3515.1000000000004,4,3515.5,9,3514.9000000000005,4,3515.7,6,3514.7000000000003,4,3515.9,12
35,3478.1000000000004,5,3478.4,15,3477.8,4,3478.7000000000003,5,3477.6000000000004,4,3478.9,4
36,3495.0,9,3495.3,30,3494.9,4,3495.4,7,3494.5,5,3495.8,17
37,3485.7000000000003,7,3486.0,10,3485.5000000000005,4,3486.2,5,3485.5000000000005,4,3486.2,5
38,3493.7000000000003,14,3494.1000000000004,11,3493.5000000000005,27,3494.3,22,3493.4,5,3494.4000000000005,4
39,3510.9,10,3511.3,11,3510.8,19,3511.4,21,3510.7000000000003,4,3511.5,5
40,3545.4,7,3545.8,8,3545.3,5,3545.9,7,3545.1,11,3546.1000000000004,13
41,3536.5,5,3536.8,9,3536.2,6,3537.1000000000004,11,3536.2,4,3537.1000000000004,4
42,3520.6000000000004,4,3521.0,9,3520.4000000000005,4,3521.2,14,3520.4000000000005,4,3521.2,12
43,3550.1000000000004,7,3550.5,15,3550.0000000000005,7,3550.6,14,3549.8,20,3550.8,43
44,3549.8,4,3550.2000000000003,5,3549.5,6,3550.5000000000005,9,3549.2000000000003,6,3550.8,9
45,3555.7000000000003,6,3556.1000000000004,5,3555.5000000000005,6,3556.3,4,3555.2000000000003,4,3556.6000000000004,4
46,3505.5,10,3505.9,8,3505.3,5,3506.1,4,3505.1,5,3506.3,5
47,3542.2000000000003,4,3542.6000000000004,6,3541.9,5,3542.9000000000005,8,3541.6000000000004,5,3543.2000000000003,7
48,3543.1000000000004,4,3543.5,4,3543.0000000000005,4,3543.6,6,3542.6000000000004,4,3544.0,10
49,3543.7000000000003,16,3544.1000000000004,21,3543.6000000000004,6,3544.2000000000003,8,3543.4,4,3544.4000000000005,4
50,3508.1000000000004,6,3508.5,8,3507.8,7,3508.8,9,3507.7000000000003,8,3508.9,11
