,signal
0,6.61e-05
1,6.61e-05
2,0.000673834
3,-0.002633375
4,1.51e-06
5,0.000319168
6,0.002152334
7,-0.001863234
8,0.001350532
9,-0.000386051
10,-0.000546745
11,-0.001188425
12,0.001059452
13,0.005556612
14,-0.004648412
15,-0.007006754
16,0.006706038
17,0.002171817
18,0.001510414
19,-0.011501177
20,0.00581034
21,0.005285979
22,-0.00190916
23,-0.002738215
24,-0.003878325
25,0.006834163
26,-0.001619024
27,0.002048627
28,-0.001504587
29,-0.003509949
30,0.002329162
31,0.001565783
32,-0.000766675
33,-0.000543315
34,-6.37e-05
35,0.001656111
36,-0.002517537
37,0.001083116
38,-0.002761741
39,0.004256125
40,-0.002160188
41,0.000317603
42,-0.001751884
43,0.005254227
44,-0.002835007
45,0.008283197
46,-0.020052452
47,0.011859405
48,-0.001135743
49,0.008636174
50,-0.01559189
51,0.009064196
52,-0.003172668
53,0.001002844
54,0.001825691
55,0.003773553
56,-0.012543475
57,0.010591038
58,-0.004812636
59,0.002834768
60,0.000634679
61,-0.004073548
62,0.002872082
63,-9.32e-05
64,0.002788847
65,-0.003866168
66,-0.000502403
67,0.001169812
68,-0.001738932
69,0.00230606
70,-0.000473825
71,-0.000698898
72,0.004193717
73,-0.004288205
74,0.000889242
75,-0.002883725
76,0.003548963
77,-0.000124741
78,0.000540429
79,-0.001905682
80,0.001967218
81,-0.00215703
82,1.52e-06
83,0.002343823
84,-0.002406843
85,0.000127196
86,0.001234275
87,-0.002091645
88,0.009907926
89,-0.007108835
90,-0.007718768
91,0.008565557
92,0.000231724
93,-0.011059415
94,0.010721346
95,0.00396712
96,-0.009160229
97,0.001250618
98,0.010152526
99,-0.014027148
100,0.004659431
101,0.010785906
102,-0.021088257
103,0.015070999
104,-6.06e-06
105,-0.010854048
106,0.015205004
107,-0.013879574
108,0.005969904
109,0.001964102
110,-0.001716297
111,-0.00537676
112,0.009616709
113,-0.005535056
114,-0.002237065
115,0.009416063
116,-0.007060517
117,-0.000527598
118,0.003070886
119,-0.003851034
120,0.008327435
121,-0.009785523
122,0.005431596
123,-0.003129752
124,0.004640667
125,-0.007603835
126,0.006674499
127,-0.001423079
128,-0.002097096
129,0.008721414
130,-0.016964623
131,0.00965926
132,-0.000122294
133,0.001444924
134,-0.002149413
135,-0.001049302
136,0.004527226
137,-0.00406608
138,0.004347201
139,-0.002042126
140,-0.007776492
141,0.010519431
142,-0.00585124
143,0.00438183
144,-0.00475717
145,0.006710467
146,-0.005999922
147,0.004231471
148,-0.005461011
149,0.001727194
150,0.001293607
151,0.003618349
152,-0.007570708
153,0.002338914
154,0.004962142
155,-0.001825851
156,-0.003722027
157,0.003721392
158,-0.000374869
159,-0.002229606
160,-0.000460799
161,0.003647191
162,-0.00309076
163,-2.92e-05
164,0.00447102
